descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,mediana,quantidade_q1,quantidade_q3,frequencia_relativa,qtd_1_emb,qtd_2_emb,qtd_3_emb,qtd_4_emb,qtd_5_emb,qtd_6_emb,qtd_7_emb,qtd_8_emb,qtd_9_emb,qtd_10_emb,qtd_11_emb,qtd_12_emb,qtd_13_emb,qtd_14_emb,qtd_15_emb,qtd_16_emb,qtd_17_emb,qtd_18_emb,qtd_19_emb,qtd_20_emb,qtd_24_emb,qtd_25_emb,qtd_30_emb,qtd_33_emb
8244 MR ARANDELA P/1LAMP E27 LENTE TRANS,4,2.0,2.0,2,2,0.0,0,0.0,2,2.0,2.0,2.0,0.0031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8244 PR ARANDELA P/1LAMP E27 LENTE TR,30,4.285714285714286,24.0,1,12,15.904761904761905,11,3.9880774697543058,7,3.0,1.5,5.5,0.011,0.2857,0.1429,0.1429,0.1429,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8244 PR ARANDELA P/1LAMP E27 LENTE TRANS,10,2.0,6.0,1,3,0.5,2,0.7071067811865476,5,2.0,2.0,2.0,0.0078,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8280 BR PENDENTE INJ EM TEMOPLAS,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8311/1 BR PENDENTE INJ P/1 LAMP,2,1.0,1.0,1,1,0.0,0,0.0,2,1.0,1.0,1.0,0.0031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8320 BR ARANDELA REDONDA INJ P/ 1 LAMP,28,3.5,19.0,1,9,10.0,8,3.1622776601683795,8,2.0,1.75,4.25,0.0125,0.25,0.375,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8320 MR ARANDELA REDONDA INJ P/ 1 LAMP,4,2.0,2.0,2,2,0.0,0,0.0,2,2.0,2.0,2.0,0.0031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8320 PR ARANDELA REDONDA INJ P/ 1 LAMP,51,5.666666666666667,46.0,1,25,63.50000000000001,24,7.968688725254614,9,2.0,1.0,6.0,0.0141,0.3333,0.3333,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.0
8323 PR ARANDELA P/1 LAMP E27 LENTE TRAN,3,1.5,5.0,1,2,0.5,1,0.7071067811865476,2,1.5,1.25,1.75,0.0031,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8331 PR ARANDELA INJ P/ 1 LAMP,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8337 PR PENDENTE INJ P/1 LAMP E27,35,3.5,11.0,1,5,2.2777777777777777,4,1.509230856356236,10,3.5,2.25,5.0,0.0156,0.1,0.2,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8338 PR ARANDELA INJ P/ 1 LAMP E27,10,10.0,,10,10,,0,,1,10.0,10.0,10.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
