descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,mediana,quantidade_q1,quantidade_q3,frequencia_relativa,qtd_1_emb,qtd_2_emb,qtd_3_emb,qtd_4_emb,qtd_5_emb,qtd_6_emb,qtd_7_emb,qtd_8_emb,qtd_9_emb,qtd_10_emb,qtd_11_emb,qtd_12_emb,qtd_13_emb,qtd_14_emb,qtd_15_emb,qtd_16_emb,qtd_17_emb,qtd_18_emb,qtd_19_emb,qtd_20_emb,qtd_24_emb,qtd_25_emb,qtd_30_emb,qtd_33_emb
8395 PR/LC ARANDELA INJ P/1 LAMP SACO PL,5,2.5,13.0,1,4,4.5,3,2.1213203435596424,2,2.5,1.75,3.25,0.0031,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397 BR/LC ARANDELA INJ P/1 LAMP SACO PL,3,3.0,,3,3,,0,,1,3.0,3.0,3.0,0.0016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397 PR/LC ARANDELA INJ P/1 LAMP SACO PLA,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426 PR BALIZADOR P/JD E MURO P/1 LAMP,34,3.4,16.0,1,8,6.266666666666666,7,2.503331114069145,10,3.0,1.25,4.0,0.0156,0.3,0.2,0.0,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8428 BR ARANDELA C/SUP.INF.P/1L E27,14,4.666666666666667,28.0,2,10,21.333333333333336,8,4.618802153517007,3,2.0,2.0,6.0,0.0047,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8428 MR ARANDELA C/SUP.INF.P/1L E27,38,2.375,9.0,1,6,1.7166666666666666,5,1.3102162671355697,16,2.0,1.75,3.0,0.025,0.25,0.375,0.25,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8428 PR ARANDELA C/SUP.INF.P/1L E27,33,4.714285714285714,24.0,1,13,14.571428571428571,12,3.8172540616821107,7,4.0,3.5,4.0,0.011,0.1429,0.0,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8429 BR ARANDELA C/SUP.SUP.P/1L E27,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8429 MR ARANDELA C/SUP.SUP.P/1L E27,8,2.6666666666666665,8.0,2,4,1.3333333333333333,2,1.1547005383792515,3,2.0,2.0,3.0,0.0047,0.0,0.6667,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8429 PR ARANDELA C/SUP.SUP.P/1L E27,26,2.1666666666666665,9.0,1,6,1.9696969696969697,5,1.403458930534474,12,2.0,1.0,2.25,0.0188,0.3333,0.4167,0.1667,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8433 PR BALIZADOR INJ P/1 LAMP,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8800 PRETA ARANDELA INJETADA P/1LAMP G9,28,14.0,92.0,3,25,242.0,22,15.556349186104045,2,14.0,8.5,19.5,0.0031,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
8801 PRETA ARANDELA INJETADA P/1LAMP G9,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8802 MARROM ARANDELA INJETADA P/1LAMP G9,6,6.0,,6,6,,0,,1,6.0,6.0,6.0,0.0016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8832 BR SPOT DE SOBREPOR QUAD.MR16/GU10,5,5.0,,5,5,,0,,1,5.0,5.0,5.0,0.0016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8832 PR SPOT DE SOBREPOR QUAD.MR16/GU10,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8833 MR SPOT DE SOBREPOR RED.MR16/GU10,11,3.6666666666666665,16.0,1,6,6.333333333333333,5,2.516611478423583,3,4.0,2.5,5.0,0.0047,0.3333,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8833 PR SPOT DE SOBREPOR RED.MR16/GU10,13,13.0,,13,13,,0,,1,13.0,13.0,13.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8835 BR SPOT DE SOBREPOR RED.E-27 PAR 20,16,4.0,17.0,1,7,6.666666666666667,6,2.581988897471611,4,4.0,2.5,5.5,0.0063,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8835 PR SPOT DE SOBREPOR RED.E27-PAR 20,5,2.5,13.0,1,4,4.5,3,2.1213203435596424,2,2.5,1.75,3.25,0.0031,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8853 GLOBO DE PLÁSTICO 15X30 LEITOSO,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
