codigo,descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,quantidade_median,quantidade_q1,quantidade_q3,frequencia_relativa
9450,8427 BR PENDENTE INJ P/ 1 LAMP E27-SACO,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0003
9454,8428 PR ARANDELA C/SUP.INF.P/1L E27-SACO,189,4.2,15.0,1,14,11.981818181818182,13,3.4614763009181764,45,3.0,2.0,5.0,0.0131
9455,8428 BR ARANDELA C/SUP.INF.P/1L E27-SACO,41,2.411764705882353,7.0,1,6,1.8823529411764706,5,1.3719886811400708,17,2.0,2.0,2.0,0.0049
9456,8428 MR ARANDELA C/SUP.INF.P/1L E27-SACO,54,3.375,13.0,1,11,10.116666666666667,10,3.1806707887907337,16,2.0,1.0,3.25,0.0046
9459,8429 PR ARANDELA C/SUP.SUP.P/1L E27-SACO,37,2.3125,7.0,1,5,2.3625,4,1.5370426148939398,16,2.0,1.0,3.0,0.0046
9460,8429 BR ARANDELA C/SUP.SUP.P/1L E27-SACO,5,2.5,5.0,2,3,0.5,1,0.7071067811865476,2,2.5,2.25,2.75,0.0006
9461,8429 MR ARANDELA C/SUP.SUP.P/1L E27-SACO,43,3.909090909090909,10.0,1,6,3.8909090909090907,5,1.9725387425622571,11,4.0,2.0,6.0,0.0032
9470,8125 PR PENDENTE INJ P/1 LAMP E27-SACO,359,5.358208955223881,15.0,1,18,9.384893713251927,17,3.063477389055112,67,4.0,4.0,7.0,0.0195
9471,8125 BR PENDENTE INJ P/1 LAMP E27,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0003
9472,8125 MR PENDENTE INJ P/1 LAMP E27-SACO,22,2.75,10.0,1,9,6.5,8,2.5495097567963922,8,2.0,2.0,2.0,0.0023
9475,8126 PR ARANDELA C/SUP.INF.P/1L E27-SACO,155,3.4444444444444446,13.0,1,17,10.434343434343434,16,3.2302234341208402,45,2.0,2.0,4.0,0.0131
9476,8126 BR ARANDELA C/SUP.INF.P/1L E27-SACO,24,2.6666666666666665,7.0,1,4,1.75,3,1.3228756555322954,9,2.0,2.0,4.0,0.0026
9477,8126 MR ARANDELA C/SUP.INF.P/1L E27-SACO,3,1.5,4.0,1,2,0.5,1,0.7071067811865476,2,1.5,1.25,1.75,0.0006
9480,8127 PR ARANDELA C/SUP.INF.P/1L E27-SACO,93,2.3846153846153846,7.0,1,6,2.40080971659919,5,1.549454651352917,39,2.0,1.0,3.0,0.0113
9481,8127 BR ARANDELA C/SUP.SUP.P/1L E27-SACO,9,1.5,3.0,1,2,0.30000000000000004,1,0.5477225575051662,6,1.5,1.0,2.0,0.0017
9549,8328 BR ARANDELA P/1L E27 COM SUP.INFERI,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0003
9550,8328 PR ARANDELA P/1L E27 COM SUP.INFERI,23,3.2857142857142856,9.0,1,6,3.2380952380952377,5,1.7994708216848745,7,3.0,2.0,4.5,0.002
9552,8329 BR ARANDELA INJ P/1 LAMP SUP C/ PIN,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0003
9553,8329 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,96,3.6923076923076925,12.0,1,11,8.381538461538463,10,2.895088679391093,26,2.5,2.0,5.5,0.0076
9585,8341 MR ARANDELA INJ P/ 1 LAMP,10,2.0,5.0,1,3,1.0,2,1.0,5,2.0,1.0,3.0,0.0015
9585,8341 MR ARANDELA INJ P/ 1 LAMP ,22,3.6666666666666665,10.0,2,8,5.066666666666666,6,2.250925735484551,6,3.0,2.25,3.75,0.0017
9587,8343 MR ARANDELA INJ P/ 1 LAMP ,20,3.3333333333333335,8.0,2,6,2.2666666666666666,4,1.505545305418162,6,3.0,2.25,3.75,0.0017
9589,8431 MR ARANDELA INJ P/1 LAMP C/SUP INF,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0003
9590,8432 MR ARANDELA INJ P/1 LAMP C/SUP SUP,4,2.0,6.0,1,3,2.0,2,1.4142135623730951,2,2.0,1.5,2.5,0.0006
9595,8383 MR ARANDELA INJ P/1 LAMP INF C/PIN,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0003
9596,8384 MR ARANDELA INJ P/1 LAMP SUP C/PIN,10,10.0,,10,10,,0,,1,10.0,10.0,10.0,0.0003
9597,8385 MR BALIZADOR INJ P/1 LAMP ,105,3.888888888888889,19.0,1,20,25.102564102564102,19,5.0102459123843515,27,2.0,1.0,4.0,0.0078
9602,8113 MR PENDENTE INJ EM TERMOPLASTICO ,4,1.3333333333333333,3.0,1,2,0.3333333333333333,1,0.5773502691896257,3,1.0,1.0,1.5,0.0009
9605,8119 MR BALIZADOR P/JD E MURO INJ TERM ,92,10.222222222222221,37.0,1,30,79.44444444444444,29,8.913161304747291,9,7.0,7.0,10.0,0.0026
9606,8320 MR ARANDELA REDONDA INJ P/ 1 LAMP,15,3.75,7.0,3,5,0.9166666666666666,2,0.9574271077563381,4,3.5,3.0,4.25,0.0012
9606,8320 MR ARANDELA REDONDA INJ P/ 1 LAMP ,15,5.0,10.0,3,6,3.0,3,1.7320508075688772,3,6.0,4.5,6.0,0.0009
9612,8237 MR ARANDELA INJ P/ 1 LAMP,112,3.5,11.0,1,10,5.870967741935483,9,2.423007994608248,32,3.0,2.0,4.0,0.0093
9630,8444 MR ARAND INJ.P/1L E27 LENTE TRANSPA,7,7.0,,7,7,,0,,1,7.0,7.0,7.0,0.0003
9639,8800 BRANCO ARANDELA INJETADA P/1LAMP G9,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0003
9641,8801 PRETA ARANDELA INJETADA P/1LAMP G9,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0003
9716,8830 BR SPOT DE SOBREPOR QUAD.MR16/GU10,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0003
9717,8830 PR SPOT DE SOBREPOR QUAD.MR16/GU10,93,6.2,18.0,1,17,14.314285714285713,16,3.7834224868874626,15,5.0,3.5,8.0,0.0044
9719,8831 PR SPOT DE SOBREPOR RED.MR16/GU10,52,5.2,15.0,2,11,10.399999999999999,9,3.2249030993194197,10,4.0,3.0,6.75,0.0029
9722,8833 BR SPOT DE SOBREPOR RED.MR16/GU10 ,14,4.666666666666667,13.0,3,8,8.333333333333332,5,2.8867513459481287,3,3.0,3.0,5.5,0.0009
9723,8833 PR SPOT DE SOBREPOR RED.MR16/GU10 ,77,4.529411764705882,15.0,1,12,11.389705882352942,11,3.374863831675723,17,3.0,2.0,6.0,0.0049
9725,8834 PR SPOT DE SOBREPOR QUA. E27-PAR 20,53,8.833333333333334,34.0,1,25,72.56666666666668,24,8.518607084885808,6,6.5,4.25,9.5,0.0017
9726,8835 BR SPOT DE SOBREPOR RED.E-27 PAR 20,20,4.0,10.0,2,7,4.0,5,2.0,5,3.0,3.0,5.0,0.0015
9727,8835 PR SPOT DE SOBREPOR RED.E27-PAR 20,49,8.166666666666666,30.0,2,20,52.166666666666664,18,7.222649560006817,6,5.0,3.25,12.0,0.0017
9755,8130 BR PENDENTE P/ 1 LAMP E27,6,1.5,4.0,1,3,1.0000000000000002,2,1.0,4,1.0,1.0,1.5,0.0012
9756,8130 PR PENDENTE P/ 1 LAMP E27,158,5.096774193548387,21.0,1,25,28.29032258064516,24,5.318864783075911,31,2.0,1.5,7.5,0.009
9757,8130 MR PENDENTE P/ 1 LAMP E27,7,3.5,10.0,2,5,4.5,3,2.1213203435596424,2,3.5,2.75,4.25,0.0006
9761,8131 PR ARANDELA C/SUP.INF.P 1 LAMP E27,22,2.2,8.0,1,7,3.7333333333333334,6,1.9321835661585918,10,1.5,1.0,2.0,0.0029
9766,8132 PR ARANDELA C/SUP.SUP.P/ 1 LAMP E27,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0003
9767,8132 MR ARANDELA C/SUP.SUP.P/ 1 LAMP E27,11,2.2,7.0,1,4,2.7,3,1.6431676725154984,5,1.0,1.0,4.0,0.0015
9771,8133 PR BALIZADOR P/1 LAMP E27,110,3.3333333333333335,19.0,1,22,28.35416666666667,21,5.324863065531983,33,1.0,1.0,1.0,0.0096
9778,8135 PR POSTE P/2 LAMP E27,5,1.6666666666666667,5.0,1,3,1.3333333333333335,2,1.1547005383792517,3,1.0,1.0,2.0,0.0009
9779,8136 BR PENDENTE INJ P/1 LAMP E27 L/C,85,2.236842105263158,6.0,1,7,1.9153627311522048,6,1.38396630419682,38,2.0,1.0,3.0,0.011
9780,8136 PR PENDENTE INJ P/1 LAMP E27 L/C,1604,4.609195402298851,23.0,1,49,36.117724999171855,48,6.009802409328601,348,3.0,2.0,5.0,0.1011
9781,8136 MR PENDENTE INJ P/1 LAMP E27 L/C,6,6.0,,6,6,,0,,1,6.0,6.0,6.0,0.0003
9785,8137 PR ARANDELA C/SUP.INF.P/1L E27 L/C,62,3.6470588235294117,11.0,1,9,6.117647058823529,8,2.4733877696033693,17,2.0,2.0,5.0,0.0049
9786,8137 MR ARANDELA C/SUP.INF.P/1L E27 L/C,51,2.4285714285714284,8.0,1,8,3.257142857142857,7,1.804755622554715,21,2.0,1.0,3.0,0.0061
9790,8138 PR ARANDELA C/SUP.SUP.P/1L E27 L/C,6,3.0,7.0,2,4,2.0,2,1.4142135623730951,2,3.0,2.5,3.5,0.0006
9791,8138 MR ARANDELA C/SUP.SUP.P/1L E27 L/C,11,11.0,,11,11,,0,,1,11.0,11.0,11.0,0.0003
9814,8830 MR SPOT DE SOBREPOR QUAD.MR16/GU10,7,3.5,14.0,1,6,12.5,5,3.5355339059327378,2,3.5,2.25,4.75,0.0006
9815,8831 MR SPOT DE SOBREPOR RED.MR16/GU10,6,6.0,,6,6,,0,,1,6.0,6.0,6.0,0.0003
9816,8832 MR SPOT DE SOBREPOR QUAD.MR16/GU10,12,12.0,,12,12,,0,,1,12.0,12.0,12.0,0.0003
9817,8833 MR SPOT DE SOBREPOR RED.MR16/GU10 ,34,4.857142857142857,13.0,1,10,8.142857142857142,9,2.8535691936340255,7,4.0,4.0,5.5,0.002
9819,8835 MR SPOT DE SOBREPOR RED.E-27 PAR 20,50,6.25,18.0,1,10,14.785714285714283,9,3.845219666769934,8,6.5,3.0,10.0,0.0023
9820,8140 BR PENDENTE P/1 LAMP E27 LENTE CRIS,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0003
9821,8140 PR PENDENTE P/1 LAMP E27 LENTE CRIS,13,2.1666666666666665,6.0,1,4,1.3666666666666667,3,1.1690451944500122,6,2.0,1.25,2.75,0.0017
9824,8141 PR ARAN SUP.INFERIOR LENTE CRISTAL,5,1.6666666666666667,5.0,1,3,1.3333333333333335,2,1.1547005383792517,3,1.0,1.0,2.0,0.0009
9827,8142 PR ARAN SUP.SUPERIOR LENTE CRISTAL,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0003
9831,8144 PR POSTE P/2 LAMP E27 LENTE CRISTAL,11,1.2222222222222223,3.0,1,2,0.19444444444444442,1,0.4409585518440984,9,1.0,1.0,1.0,0.0026
9834,8145 PR BALIZADOR P/1 LAMP E27 LENTE CRI,8,1.6,3.0,1,2,0.30000000000000004,1,0.5477225575051662,5,2.0,1.0,2.0,0.0015
