codigo,descricao,quantidade,soma,frequencia,frequencia_relativa
38,8113 BR PENDENTE INJ EM TERMOPLASTICO ,2,2,1,0.1667
38,8113 BR PENDENTE INJ EM TERMOPLASTICO ,4,4,1,0.1667
38,8113 BR PENDENTE INJ EM TERMOPLASTICO ,6,6,1,0.1667
39,8114 PR ARAND INJ TERMO C/SUPORTE INF,1,1,1,0.0189
39,8114 PR ARAND INJ TERMO C/SUPORTE INF,2,2,1,0.0189
39,8114 PR ARAND INJ TERMO C/SUPORTE INF,5,5,1,0.0189
39,8114 PR ARAND INJ TERMO C/SUPORTE INF,19,19,1,0.0189
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,1,9,9,0.1698
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,2,30,15,0.283
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,3,12,4,0.0755
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,4,24,6,0.1132
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,5,10,2,0.0377
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,6,18,3,0.0566
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,7,14,2,0.0377
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,10,40,4,0.0755
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,11,11,1,0.0189
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,12,12,1,0.0189
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,13,13,1,0.0189
39,8114 PR ARAND INJ TERMO C/SUPORTE INF ,15,15,1,0.0189
40,8114 BR ARAND INJ TERMO C/SUPORTE INF ,1,2,2,0.6667
40,8114 BR ARAND INJ TERMO C/SUPORTE INF ,2,2,1,0.3333
41,8115 PR ARAND INJ TERMO C/ SUPORTE SUP ,1,7,7,1.0
43,8120 PR POSTE C/TUBO AL P/1 LAMP INJ TER,1,9,9,0.36
43,8120 PR POSTE C/TUBO AL P/1 LAMP INJ TER,2,30,15,0.6
43,8120 PR POSTE C/TUBO AL P/1 LAMP INJ TER,3,3,1,0.04
44,8120 BR POSTE C/TUBO AL P/1 LAMP INJ TER,1,2,2,1.0
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP,1,8,8,0.2759
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP,2,16,8,0.2759
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP,3,6,2,0.069
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP,4,8,2,0.069
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP,5,5,1,0.0345
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP,6,6,1,0.0345
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP ,1,2,2,0.069
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP ,2,4,2,0.069
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP ,4,4,1,0.0345
4519,8320 BR ARANDELA REDONDA INJ P/ 1 LAMP ,6,6,1,0.0345
